Parent Name,Student Name,Student ID,Grade,Timestamp
Leilani Barajas,Davis Barajas,20240401,4,2024-10-23 05:52:08
Leilani Barajas,Davis Barajas,20240401,4,2024-10-23 05:52:08
Jessica Doe,Jane Doe,20240101,1,2024-10-23 05:52:13
Jessica Doe,Joseph Doe,20240102,1,2024-10-23 05:52:13
Jessica Doe,Jane Doe,20240101,1,2024-10-23 05:52:13
Jessica Doe,Joseph Doe,20240102,1,2024-10-23 05:52:13
Jessica Doe,Jane Doe,20240101,1,2024-10-23 05:52:13
Jessica Doe,Joseph Doe,20240102,1,2024-10-23 05:52:13
Jessica Doe,Jane Doe,20240101,1,2024-10-23 05:52:14
Jessica Doe,Joseph Doe,20240102,1,2024-10-23 05:52:14
Maverick Wiley,Jay Wiley,20240302,3,2024-10-23 05:52:17
Maverick Wiley,Jay Wiley,20240302,3,2024-10-23 05:52:17
Maverick Wiley,Jay Wiley,20240302,3,2024-10-23 05:52:17
Maverick Wiley,Jay Wiley,20240302,3,2024-10-23 05:52:18
Maverick Wiley,Jay Wiley,20240302,3,2024-10-23 05:52:18
Maverick Wiley,Jay Wiley,20240302,3,2024-10-23 05:52:18
Maverick Wiley,Jay Wiley,20240302,3,2024-10-23 05:52:18
Maria Fletcher,Oakley Fletcher,20240301,3,2024-10-23 05:52:21
Maria Fletcher,Oakley Fletcher,20240301,3,2024-10-23 05:52:21
Maria Fletcher,Oakley Fletcher,20240301,3,2024-10-23 05:52:21
Maren Mill,Maria Mill,20240201,2,2024-10-23 05:52:31
Parent Name,Student Name,Student ID,Grade,Timestamp
Parent Name,Student Name,Student ID,Grade,Timestamp
Parent Name,Student Name,Student ID,Grade,Timestamp
Parent Name,Student Name,Student ID,Grade,Timestamp
Jessica Doe,Jane Doe,20240101,1,2024-10-25 00:53:42
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 00:53:42
Parent Name,Student Name,Student ID,Grade,Timestamp
Jessica Doe,Jane Doe,20240101,1,2024-10-25 00:59:42
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 00:59:42
Parent Name,Student Name,Student ID,Grade,Timestamp
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:40
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:41
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:42
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:43
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:43
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:43
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:43
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:43
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:43
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:43
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:43
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:43
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:44
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:05:45
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:05:49
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:05:49
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:05:49
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:05:49
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:06:11
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:06:11
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:06:12
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:06:12
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:06:12
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:06:12
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:06:12
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:06:12
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:06:12
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:06:12
Maverick Wiley,Jay Wiley,20240302,3,2024-10-25 01:06:14
Parent Name,Student Name,Student ID,Grade,Timestamp
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:08:18
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:08:18
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:08:18
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:08:19
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:08:19
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:08:19
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:08:19
Leilani Barajas,Davis Barajas,20240401,4,2024-10-25 01:08:19
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:08:33
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:08:33
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:08:33
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:08:33
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:08:33
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:08:33
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:08:33
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:08:33
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:08:34
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:08:34
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:08:34
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:08:34
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:08:34
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:08:34
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:08:34
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:08:34
Jessica Doe,Jane Doe,20240101,1,2024-10-25 01:08:34
Jessica Doe,Joseph Doe,20240102,1,2024-10-25 01:08:34
Maria Fletcher,Oakley Fletcher,20240301,3,2024-10-25 01:08:40
Maria Fletcher,Oakley Fletcher,20240301,3,2024-10-25 01:08:40
